,m2,celly_houseRoomCount,description,isitma,celly_buildingAge,celly_floortype,location,days,price
28,120,2 + 1, tarabya üstü cadde alışveriş 100m metro 10 dakika 2+1,Kombi,25 Yaşında, 2. Kat,"Sarıyer,Cumhuriyet Mahallesi",13 Temmuz 2020,"1,800 TL"
29,40,4 + 1, tarabya'da sahile 2 dakika mesafede kiralık çatı dubleks daire,Kombi,6 Yaşında, 3. Kat,"Sarıyer,Tarabya Mahallesi",13 Temmuz 2020,"19,500 TL"
30,84,2 + 1, zekeriyaköy medyakent aydınlık ferah 2+1 köşe daire kiralık,Kombi,19 Yaşında, Ara Kat,"Sarıyer,Zekeriyaköy Mahallesi",13 Temmuz 2020,"2,500 TL"
31,90,2 + 1, güvenlikli otoparklı depreme dayanıklı site 2+1 kombili daire,Kombi,20 Yaşında, Yüksek Giriş,"Sarıyer,İstinye Mahallesi",13 Temmuz 2020,"2,700 TL"
32,120,2 + 1, ferahevler çarşı da müstakil bahçeli kiralık 2+1 daire,Kombi,30 Yaşında, Kot 1,"Sarıyer,Ferahevler Mahallesi",13 Temmuz 2020,"2,250 TL"
33,60,1 + 1, greenpine 1+1 eşyalı kiralık residence (3-6 aylık kiralama),Kombi,4 Yaşında, Bahçe Katı,"Sarıyer,Ayazağa Mahallesi",13 Temmuz 2020,"2,450 TL"
34,110,3 + 1, ayazağa kadıköy birlik sitesinde 3+1 kiralık daire,Kombi,16 Yaşında, 5. Kat,"Sarıyer,Ayazağa Mahallesi",13 Temmuz 2020,"2,350 TL"
35,140,4 + 1, sarıyer turyap tan metro yakını özden sitesi 4+1 çatı dubleks,Kombi,8 Yaşında, 3. Kat,"Sarıyer,Çayırbaşı Mahallesi",13 Temmuz 2020,"3,500 TL"
36,100,2 + 1, haliç emlaktan kiralık 2+1 çift balkonlu daire,Kombi,20 Yaşında, Giriş Katı,"Sarıyer,Tarabya Mahallesi",13 Temmuz 2020,"2,200 TL"
37,140,4 + 1," rumelihisarı, cadde üzerinde deniz manzaralı 4+1 kiralık daire..",Kombi,45 Yaşında, Yüksek Giriş,"Sarıyer,Rumeli Hisarı Mahallesi",13 Temmuz 2020,"10,000 TL"
38,160,4 + 1, rumeli hisarı'nda sahile yakın teraslı bakımlı 4+1 keyifli daire,Kombi,30 Yaşında, 1. Kat,"Sarıyer,Rumeli Hisarı Mahallesi",13 Temmuz 2020,"6,000 TL"
39,70,4 + 1, seba vista daçatı dubleksinde bahçe keyfi 4+1 istinyepark 5dk,Kombi,7 Yaşında, Giriş Katı,"Sarıyer,Poligon Mahallesi",13 Temmuz 2020,"17,000 TL"
