,m2,celly_houseRoomCount,description,isitma,celly_buildingAge,celly_floortype,location,days,price
290,74,1 + 1, ayazağa beykent nişantaşı üni yakın 1+1 bekara öğrenci çalışana,Kombi,8 Yaşında, 3. Kat,"Sarıyer,Ayazağa Mahallesi",8 Temmuz 2020,"1,600 TL"
291,50,4 + 1, emirgan da boğaz manzarali 4+1 eşyali bahçeli özel mimari daire,Kombi,20 Yaşında, 3. Kat,"Sarıyer,Emirgan Mahallesi",13 Temmuz 2020,"36,000 TL"
292,80,4 + 1, tarabya marinaya 20m home ofis veya ev 280m2 4+1 dublex,Kombi,25 Yaşında, 2. Kat,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"7,000 TL"
293,330,5 + 1, abn ' den istinye seba royal kiralık 5+1 çatı dubleks,Kombi,15 Yaşında, 4. Kat,"Sarıyer,İstinye Mahallesi",28 Haziran 2020,"19,000 TL"
294,460,4 + 1, sarıyer tarabya'da lüks kiralık dubleks...,Kombi,15 Yaşında, Bahçe Katı,"Sarıyer,Tarabya Mahallesi",3 Temmuz 2020,"20,000 TL"
295,175,3 + 1, istinye de muhteşem boğaz manzaralı 3+1 idaire ,Kombi,Sıfır Bina,boş,"Sarıyer,İstinye Mahallesi",10 Temmuz 2020,"23,000 TL"
296,140,3 + 1, büyükdere kiralık 3+1 deniz manzaralı daire,Kombi,30 Yaşında,boş,"Sarıyer,Büyükdere Mahallesi",3 Haziran 2020,"4,000 TL"
297,480,4 + 1, tarabyada güvenlikli otoparklı havuzlu sitede bahçe dublex,Kombi,20 Yaşında, Villa Katı,"Sarıyer,Tarabya Mahallesi",30 Haziran 2020,"20,000 TL"
298,136,2 + 1, 42 maslak b kule'de modern eşyalı kiralik 2+1 daire (263),Kombi,5 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"10,990 TL"
299,165,3 + 1, huzur nidaparp modern eşyalı kiralık 3+1 daire (225),Kombi,4 Yaşında, 4. Kat,"Sarıyer,Huzur Mahallesi",8 Temmuz 2020,"11,990 TL"
300,147,2 + 1, maslak spine modern eşyalı kiralık 2+1 daire (154),Kombi,5 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"13,090 TL"
301,130,3 + 1, 3+1boğaziçi üniversitesi'ne ve metroya yürüme mesafesinde,Kombi,20 Yaşında, Zemin,"Sarıyer,Rumeli Hisarı Mahallesi",9 Temmuz 2020,"2,850 TL"
302,80,5 + 1, istinye seba milenyum da 5+1 çatı dublex,Kombi,17 Yaşında, Çatı Katı,"Sarıyer,Maslak Mahallesi",13 Temmuz 2020,"13,000 TL"
303,100,2 + 1, borsaya enkaya ıstinyeparka yürüme mesafesinde ara kat,Kombi,25 Yaşında,boş,"Sarıyer,İstinye Mahallesi",28 Haziran 2020,"2,500 TL"
304,90,4 + 1, sarıyer tünele 2 dk muhteşem büyük bahçeli bahçe dubleks,Kombi,5 Yaşında, Bahçe Katı,"Sarıyer,Maden Mahallesi",7 Temmuz 2020,"15,000 TL"
305,330,5 + 1, sarıyer istinye seba'nın amiral gemisinde 330 m2 çatı dubleksi,Kombi,13 Yaşında, Çatı Katı,"Sarıyer,İstinye Mahallesi",17 Haziran 2020,"20,000 TL"
306,300,4 + 1, değirmentepede yüzme havuzlu butik sitede geniş salonlu ferah da,Kombi,25 Yaşında, 2. Kat,"Sarıyer,Emirgan Mahallesi",1 Temmuz 2020,"16,000 TL"
307,120,2 + 1, kireçburnu sahile 100m ful eşyalı boğaz manzaralı çok temiz 2+1,Kombi,25 Yaşında, 2. Kat,"Sarıyer,Kireçburnu Mahallesi",12 Temmuz 2020,"4,000 TL"
308,136,2 + 1, 42 maslak b kule'de eşyalı kiralık 2+1 daire (270),Kombi,5 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"11,690 TL"
309,140,3 + 1," sarıyer tarabya deniz,doğa,şehir manzaralı sahil,metro 10.dk ",Kombi,20 Yaşında, 4. Kat,"Sarıyer,Tarabya Mahallesi",20 Haziran 2020,"3,650 TL"
310,70,4 + 1, tarabya marinaya 20m home ofis veya ev 280m2 4+1 dublex,Kombi,25 Yaşında, 2. Kat,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"7,000 TL"
311,160,2 + 1, tarabya üstü cadde ulaşım merkezde eşyalı 140m2 2+1 dublex,Kombi,25 Yaşında, 3. Kat,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"3,500 TL"
312,400,6 + 1, istinyepark evleri düz ara kat daire 400m2 6+1 vadi istinye park,Kombi,7 Yaşında, 3. Kat,"Sarıyer,İstinye Mahallesi",13 Temmuz 2020,"32,500 TL"
313,120,3 + 1, privatedan boğ üniv. 1 dk mesafede full eşyalı müstakil,Kombi,20 Yaşında,boş,"Sarıyer,Rumeli Hisarı Mahallesi",8 Haziran 2020,"2,500 TL"
314,160,3 + 1, tarabya sanatçılar sitesi cadde 200m metro 10dk eşyalı 3+1,Kombi,20 Yaşında, 3. Kat,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"5,000 TL"
315,400,5 + 2, kismi boğaz manzaralı yüzme havuzlu tarihi konakta dubleks daire,Kombi,2 Yaşında, 3. Kat,"Sarıyer,Emirgan Mahallesi",1 Temmuz 2020,"16,000 TL"
316,120,2 + 1, kireçburnu müstakil girişli çok temiz eşyalı 2+1 daire,Kombi,25 Yaşında, Yüksek Giriş,"Sarıyer,Kireçburnu Mahallesi",12 Temmuz 2020,"3,000 TL"
317,111,1 + 1, 42 maslak b kule'de modern eşyalı kiralik 1+1 daire (262),Kombi,4 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"10,390 TL"
318,46,1 + 1, maslak 1453 modern eşyalı kiralik 1+1 daire (274),Kombi,4 Yaşında, 10. Kat,"Sarıyer,Maslak Mahallesi",10 Temmuz 2020,"5,490 TL"
319,330,5 + 1, sarıyer istinye sebanın amiral gemisinde 330m2 5+1 çatı dubleksi,Kombi,10 Yaşında, Bahçe Katı,"Sarıyer,İstinye Mahallesi",3 Temmuz 2020,"20,000 TL"
320,160,3 + 1, tarabya metroya 10 dk mesafede çok temiz kiralık 3+1,Kombi,25 Yaşında, 3. Kat,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"3,100 TL"
321,140,3 + 1, tarabya şenevlerde caddeye 100 metre keyifli arakat 3+1 daire,Kombi,25 Yaşında, 2. Kat,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"2,100 TL"
322,111,1 + 1, 42 maslak b kule'de modern eşyalı kiralık 1+1 daire (248),Kombi,4 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"10,390 TL"
323,80,1 + 1, tarabya hayvan severe müstakil girişli kiralık 1+1 daire,Kombi,25 Yaşında, Bahçe Katı,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"2,400 TL"
324,90,2 + 1, sahibinden full + full eşyalı muhteşem orman manzaralı daire,Kombi,15 Yaşında, 5. Kat,"Sarıyer,Ayazağa Mahallesi",6 Temmuz 2020,"2,200 TL"
325,65,1 + 1, tarabya cadde alışveriş ulaşım 200m bekar bay bayana aileye 1+1,Kombi,20 Yaşında, 3. Kat,"Sarıyer,Cumhuriyet Mahallesi",12 Temmuz 2020,"1,300 TL"
326,190,3 + 1, tarabya' da butik aktiviteli sitede teraslı çatı dublex ,Kombi,5 Yaşında, 2. Kat,"Sarıyer,Tarabya Mahallesi",11 Temmuz 2020,"7,000 TL"
327,50,4 + 1, istinye vista' da dekorasyonlu iyi konumda çatı dublex,Kombi,8 Yaşında, 2. Kat,"Sarıyer,İstinye Mahallesi",11 Temmuz 2020,"16,000 TL"
328,120,2 + 1, tarabya üstü ulaşıma 100 m mesafede çok temiz 2+1 arakat daire,Kombi,25 Yaşında, Kot 1,"Sarıyer,Cumhuriyet Mahallesi",12 Temmuz 2020,"1,750 TL"
329,140,2 + 1, tarabya üstü full boğaz manzaralı içi sıfır yapılmış 2+1 daire,Kombi,Sıfır Bina, 4. Kat,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"6,000 TL"
330,90,2 + 1, sarıyer tarabya'da sitede 90 m2 2+1 bakımlı temiz kiralık daire,Kombi,8 Yaşında, 2. Kat,"Sarıyer,Tarabya Mahallesi",13 Temmuz 2020,"3,600 TL"
331,118,3 + 1, istinye parka yakın güvenlikli otoparklı sitede 3+1 kombili,Kombi,20 Yaşında, 1. Kat,"Sarıyer,Pınar Mahallesi",13 Temmuz 2020,"2,900 TL"
332,450,6 + 1, istinyepark residence 450m2 bahce dubleks kiralık istinye park,Kombi,7 Yaşında, Bahçe Katı,"Sarıyer,İstinye Mahallesi",13 Temmuz 2020,"35,000 TL"
333,300,3 + 1, sarıyer istinyenin en nezih sitesinde-en şık bahçe dubleksi,Kombi,10 Yaşında,boş,"Sarıyer,İstinye Mahallesi",21 Haziran 2020,"25,500 TL"
334,100,2 + 1, tarabya'da sahile 1 dakika mesafede çok temiz eşyalı 2+1 daire,Kombi,15 Yaşında, 3. Kat,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"7,000 TL"
335,330,5 + 1, abn 'den istinye seba royal 'de güncel kiralık çatı dublex 350m2,Kombi,15 Yaşında, 3. Kat,"Sarıyer,İstinye Mahallesi",22 Haziran 2020,"20,000 TL"
336,315,4 + 1, seba akdağ dream sitesinde dekorasyonlu serefiyeli catı dublex,Kombi,10 Yaşında, Çatı Katı,"Sarıyer,İstinye Mahallesi",6 Temmuz 2020,"23,000 TL"
337,150,3 + 1, hacıosman metroya 2 dakika mesafede kiralık 160m2 3+1 daire,Kombi,14 Yaşında, 2. Kat,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"3,000 TL"
338,70,4 + 1, tarabya'da marinaya yakın hom ofise uygun 280m2 4+1 dublex,Kombi,25 Yaşında, 2. Kat,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"7,000 TL"
339,150,3 + 1, tarabya hacıosman metro 5 dk doğa manzaralı 3+1 çatı katı daire,Kombi,25 Yaşında, 3. Kat,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"4,000 TL"
340,175,3 + 1, istinye parkta kiralık 3+1 pırıl pırıl daire,Kombi,12 Yaşında, 3. Kat,"Sarıyer,İstinye Mahallesi",11 Temmuz 2020,"15,500 TL"
341,330,5 + 1, abn' den seba akdağ dream kiralık dekorasyonlu 5+1,Kombi,5 Yaşında, Çatı Katı,"Sarıyer,İstinye Mahallesi",3 Temmuz 2020,"23,000 TL"
342,114,2 + 1, maslak 42 maslak tower b eşyalı kiralik 2+1 daire (233),Kombi,5 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"10,190 TL"
343,160,3 + 1, yeniköyde sahilde teras ve boğaz manzaralı dubleks,Kombi,35 Yaşında, 2. Kat,"Sarıyer,Yeniköy Mahallesi",2 Temmuz 2020,"24,000 TL"
344,160,3 + 1, hacıosman metroya 2 dakika mesafede kiralık 140m2 3+1 daire,Kombi,25 Yaşında, 2. Kat,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"3,150 TL"
345,190,3 + 1, sarıyer tarabya'da sahile yakın manzaralı kiralık daire.,Kombi,20 Yaşında, Villa Katı,"Sarıyer,Tarabya Mahallesi",2 Temmuz 2020,"14,000 TL"
346,80,4 + 1, abn' den istinye seba vista kiralık manzaralı tek yetkili çatı d,Kombi,11 Yaşında, 3. Kat,"Sarıyer,İstinye Mahallesi",28 Haziran 2020,"16,500 TL"
347,00,3 + 1, tarabya üstü deniz doğa manzaralı teraslı 3+1 ,Kombi,25 Yaşında, 5. Kat,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"3,500 TL"
348,50,4 + 1, tarabya' da sahile adım mesafesinde elit sitede çatı dublex,Kombi,10 Yaşında, 2. Kat,"Sarıyer,Tarabya Mahallesi",6 Temmuz 2020,"19,500 TL"
349,330,5 + 1, sarıyer istinye seba royal masrafsız pırıl pırıl çatı dubleksi,Kombi,13 Yaşında, En Üst Kat,"Sarıyer,İstinye Mahallesi",23 Haziran 2020,"19,000 TL"
350,350,5 + 1, abn 'den istinye kiralık seba akdağ da geniş y.tavanlı 350m2 5+1,Kombi,9 Yaşında, 4. Kat,"Sarıyer,İstinye Mahallesi",3 Temmuz 2020,"23,000 TL"
351,0,4 + 1, tarabya' da elit sitede aydınlık ferah daire,Kombi,20 Yaşında, 2. Kat,"Sarıyer,Tarabya Mahallesi",11 Temmuz 2020,"16,000 TL"
352,150,3 + 1, tarabya sanatçılar sitesi cadde 200m metro 10dk eşyalı 3+1,Kombi,14 Yaşında, 3. Kat,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"5,000 TL"
353,170,3 + 1, tarabya metroya 10 dk mesafede çok temiz kiralık 3+1,Kombi,25 Yaşında, 3. Kat,"Sarıyer,Cumhuriyet Mahallesi",12 Temmuz 2020,"3,000 TL"
354,85,1 + 1, sarıyer maden siteler bölgesinde kiralik,Kombi,Sıfır Bina, 3. Kat,"Sarıyer,Zekeriyaköy Mahallesi",9 Temmuz 2020,"2,500 TL"
355,188,3 + 1, emirgan da teraslı nefis çatı katı,Kombi,1 Yaşında, 4. Kat,"Sarıyer,Reşitpaşa Mahallesi",1 Temmuz 2020,"9,500 TL"
356,55,1 + 1, zekeriyakoy studio life evleri eşyalı 1+1 kiralik daire (335),Kombi,5 Yaşında, 2. Kat,"Sarıyer,Zekeriyaköy Mahallesi",8 Temmuz 2020,"3,590 TL"
357,196,3 + 1, abn 'den istinye emirgan arası yeni projede modern kiralık daire,Kombi,Sıfır Bina, Ara Kat,"Sarıyer,Emirgan Mahallesi",28 Haziran 2020,"11,500 TL"
358,190,3 + 1, tarabya haziran ayına kadar öğrenci aile bekara eşyalı 3+1 ,Kombi,25 Yaşında, 1. Kat,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"3,000 TL"
359,104,1 + 1, 42 maslak b kule'de modern eşyalı kiralık 1+1 daire (267),Kombi,5 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"8,990 TL"
360,150,3 + 1, ıstinye park modern eşyalı kiralık 3+1 daire (372),Kombi,12 Yaşında, Giriş Katı,"Sarıyer,İstinye Mahallesi",8 Temmuz 2020,"25,990 TL"
361,157,2 + 1, zekeriyaköy ormanada'da kiralık 2+1 çatı dubleksi,Kombi,6 Yaşında, Çatı Katı,"Sarıyer,Zekeriyaköy Mahallesi",10 Temmuz 2020,"7,500 TL"
362,60,1 + 1, tarabya sahile 10dk cadde çarşı 200 metre kiralık 60m2 1+1,Kombi,25 Yaşında, Giriş Katı,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"1,200 TL"
363,0,4 + 1, ali obuz'dan aksoy tarabya'da havuz manzaralı,Kombi,15 Yaşında, 4. Kat,"Sarıyer,Ferahevler Mahallesi",2 Temmuz 2020,"14,900 TL"
364,95,1 + 1, borsaya istinyeparka çok yakın keyifli 1+1 arakat,Kombi,30 Yaşında, 3. Kat,"Sarıyer,İstinye Mahallesi",17 Haziran 2020,"2,250 TL"
365,104,1 + 1, 42 maslak b kule'de modern eşyalı kiralık 1+1 daire (259),Kombi,5 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"8,990 TL"
366,90,2 + 1, dürüst emlak'tan pınar mahallesinde kiralık 2+1 daire,Kombi,20 Yaşında, 2. Kat,"Sarıyer,Pınar Mahallesi",11 Temmuz 2020,"1,500 TL"
367,136,2 + 1, 42 maslak b kule'de yeni eşyalı kiralık 2+1 daire (249),Kombi,5 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"11,690 TL"
368,145,3 + 1, boğaziçi sitesinde teraslı balkonlu barbekülü temiz dublex,Kombi,25 Yaşında, 3. Kat,"Sarıyer,İstinye Mahallesi",13 Temmuz 2020,"3,600 TL"
369,90,5 + 2, tarabya' da butik sıfır apartmanda bahçe dublex daire,Kombi,Sıfır Bina, Bahçe Katı,"Sarıyer,Tarabya Mahallesi",6 Temmuz 2020,"10,000 TL"
370,104,1 + 1, 42 maslak b kule'de eşyalı kiralık 1+1 daire (260),Kombi,5 Yaşında, 20. Kat,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"9,690 TL"
371,120,2 + 1, madende yeni proje orman manzaralı 120m çatı dubleksi sitede,Kombi,Sıfır Bina, 1. Kat,"Sarıyer,Maden Mahallesi",30 Haziran 2020,"4,750 TL"
372,183,2 + 1, 42 maslak b kule'de modern eşyalı kiralik 2+1 daire (264),Kombi,5 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"12,190 TL"
373,180,3 + 1, sarıyer tarabya'da eşyalı lüks kiralık daire...,Kombi,20 Yaşında, Bahçe Katı,"Sarıyer,Tarabya Mahallesi",3 Temmuz 2020,"16,000 TL"
374,114,2 + 1, 42 maslak b kule'de modern eşyalı kiralık 2+1 daire (254),Kombi,5 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"11,190 TL"
375,144,2 + 1, maslak spine modern eşyalı kiralık 2+1 daire (143),Kombi,5 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"12,490 TL"
376,150,3 + 1, tarabya ferahevler ulşım 100m nezih bir konumda 3+1 ,Kombi,15 Yaşında, 4. Kat,"Sarıyer,Ferahevler Mahallesi",12 Temmuz 2020,"4,250 TL"
377,400,4 + 2, emirganda boğaz manzaralı tarihi konakta çatı dubleksi,Kombi,25 Yaşında, 3. Kat,"Sarıyer,Emirgan Mahallesi",1 Temmuz 2020,"16,000 TL"
378,00,3 + 1, istinyepark residence 3+1 fırsat kiralık daire ev istinye park,Kombi,7 Yaşında, 4. Kat,"Sarıyer,İstinye Mahallesi",13 Temmuz 2020,"14,000 TL"
379,136,2 + 1, 42 maslak b kule'de modern eşyalı kiralık 2+1 daire (242),Kombi,5 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"8,590 TL"
380,50,4 + 1, abn 'den sarıyer tarabya park konakları 'nda kiralık 4+1 dubleks,Kombi,10 Yaşında, 3. Kat,"Sarıyer,Tarabya Mahallesi",6 Temmuz 2020,"19,500 TL"
382,65,1 + 1, ayazağa beykent nişantaşı mef üni itü 1+1 kiralık daire,Kombi,8 Yaşında, 3. Kat,"Sarıyer,Ayazağa Mahallesi",8 Temmuz 2020,"1,600 TL"
383,136,2 + 1, 42 maslak b kule'de modern eşyalı kiralık 2+1 daire (256),Kombi,5 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"11,690 TL"
384,130,2 + 1, tarabya sanatçılar sitesinde metro 10dk 100m2 2+1 bahçekatı,Kombi,20 Yaşında, Bahçe Katı,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"3,000 TL"
385,120,2 + 1, kireçburnu müstakil girişli çok temiz eşyalı 2+1 dublex daire,Kombi,25 Yaşında, 1. Kat,"Sarıyer,Kireçburnu Mahallesi",12 Temmuz 2020,"3,000 TL"
386,56,1 + 1, maslak 42 maslak modern eşyalı kiralık 2+1 daire (385),Kombi,5 Yaşında, 18. Kat,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"8,990 TL"
387,140,2 + 1, tarabya üstünde cadde ulaşım marketlere yakın kiralık 2+1 daire,Kombi,20 Yaşında, 2. Kat,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"3,000 TL"
388,80,2 + 1, tarabya cadde ulaşım market metro yakın 2+1 çatıkatı daire,Kombi,25 Yaşında, 3. Kat,"Sarıyer,Cumhuriyet Mahallesi",12 Temmuz 2020,"1,500 TL"
389,165,2 + 1, maslak spine modern eşyalı kiralik 2+1 daire (92),Kombi,6 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"15,390 TL"
390,105,1 + 1, 42 maslak b kule'de modern eşyalı kiralık 1+1 daire (252),Kombi,4 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"8,390 TL"
391,300,5 + 1, yeniköy de nezih çevrede keyifli dublex daire ,Kombi,18 Yaşında, Yüksek Giriş,"Sarıyer,Yeniköy Mahallesi",12 Temmuz 2020,"11,500 TL"
392,110,2 + 1, yeniköy de sahile 50m.mesafede kombili 2+1 temiz daire,Kombi,18 Yaşında, Giriş Katı,"Sarıyer,Yeniköy Mahallesi",12 Temmuz 2020,"2,750 TL"
393,330,5 + 1," istinye site,de önü açık ferah satılık çatı dubleks",Kombi,12 Yaşında, 2. Kat,"Sarıyer,İstinye Mahallesi",28 Haziran 2020,"8,750,000 TL"
394,150,3 + 1, sarıyer tarabya hacıosman metrosuna 5 dk 3+1 arakat daire,Kombi,25 Yaşında, 1. Kat,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"3,000 TL"
395,160,3 + 1, tarabya my trend sitesi güzel konumda 3+1 çatı dubleks,Kombi,7 Yaşında, 2. Kat,"Sarıyer,Ferahevler Mahallesi",8 Temmuz 2020,"6,750 TL"
396,105,1 + 1, 42 maslak b kule'de eşyalı kiralık 1+1 daire (245),Kombi,5 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"9,490 TL"
397,150,3 + 1, tarabya üstü cadde ve ulaşıma yakın bahçeli giriş 3+1,Kombi,25 Yaşında, Giriş Katı,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"2,500 TL"
398,100,2 + 1, sarıyer yeniköyde sahile 50m.mesafede 2+1 kombili temiz daire,Kombi,18 Yaşında, Giriş Katı,"Sarıyer,Yeniköy Mahallesi",12 Temmuz 2020,"2,750 TL"
399,150,2 + 1, tarabya merkezde ofise veya home ofise uygun kiralık 150m2 2+1,Kombi,25 Yaşında, 3. Kat,"Sarıyer,Tarabya Mahallesi",12 Temmuz 2020,"6,000 TL"
400,183,1 + 1, 42 maslak b kule'de yeni eşyalı 1+1 kiralık daire (265),Kombi,4 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"8,990 TL"
401,180,3 + 1, zekeriyaköy ormanada'da kiralık bahçe dubleksi,Kombi,6 Yaşında, Bahçe Katı,"Sarıyer,Zekeriyaköy Mahallesi",9 Temmuz 2020,"9,750 TL"
402,111,1 + 1, 42 maslak b kule'de modern eşyalı kiralik 1+1 daire (255),Kombi,5 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"8,690 TL"
403,00,4 + 1, yeniköy kiralık 4+1 çatı dubleks,Kombi,30 Yaşında, Çatı Katı,"Sarıyer,Yeniköy Mahallesi",11 Temmuz 2020,"8,500 TL"
404,75,3 + 2, sahile yakın teraslı işyerinede uygun boğaz manzaralı çatı duble,Kombi,30 Yaşında, 3. Kat,"Sarıyer,Tarabya Mahallesi",3 Temmuz 2020,"7,000 TL"
405,165,3 + 1, tarabya sitesinde bakımlı teraslı keyifli daire,Kombi,30 Yaşında, 3. Kat,"Sarıyer,Tarabya Mahallesi",21 Haziran 2020,"12,000 TL"
406,110,2 + 1, darüşşafaka bahar sitesinde 2+1 daire fırsatı,Kombi,20 Yaşında, Kot 1,"Sarıyer,Darüşşafaka Mahallesi",30 Haziran 2020,"3,500 TL"
407,300,3 + 1, emirgan da 300 m2 manzaralı çatı dubleksi,Kombi,25 Yaşında, 4. Kat,"Sarıyer,Emirgan Mahallesi",1 Temmuz 2020,"16,000 TL"
408,60,4 + 1, abn 'den sarıyer lotus koru evleri kiralık bahçe dubleks daire,Kombi,2 Yaşında, Bahçe Katı,"Sarıyer,Maden Mahallesi",4 Temmuz 2020,"12,000 TL"
409,0,4 + 1, yeniköy ferahevlerde sıfır proje 4+1çatı dublex,Kombi,Sıfır Bina, 4. Kat,"Sarıyer,Yeniköy Mahallesi",30 Haziran 2020,"9,000 TL"
411,140,3 + 1, maslak ağaoğlu 1453 modern eşyalı kiralık 3+1 daire (410),Kombi,4 Yaşında, 1. Kat,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"9,190 TL"
412,85,2 + 1, tarabya'da cadde alışveriş metro'ya yakın çok temiz kiralık 2+1,Kombi,25 Yaşında, 2. Kat,"Sarıyer,Cumhuriyet Mahallesi",12 Temmuz 2020,"1,800 TL"
413,50,4 + 1, emirgan sahilde boğaz manzarali 4+1 bahçeli özel mimari daire,Kombi,20 Yaşında, 3. Kat,"Sarıyer,Emirgan Mahallesi",13 Temmuz 2020,"28,000 TL"
414,104,1 + 1, 42 maslak b kule'de modern eşyalı kiralık 1+1 daire (246),Kombi,5 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"8,990 TL"
415,00,3 + 1, abn'den emirgan 'da yeni sitede kiralık alternatifler ,Kombi,Sıfır Bina, Çatı Katı,"Sarıyer,Reşitpaşa Mahallesi",28 Haziran 2020,"9,500 TL"
416,160,3 + 1," yeniköy'de sahilde , teras ve boğaz manzaralı özel dubleks",Kombi,35 Yaşında, 1. Kat,"Sarıyer,Yeniköy Mahallesi",21 Haziran 2020,"24,000 TL"
417,330,5 + 1, abn 'den istinye seba royal 'de kiralık bakımlı lux çatı dubleks,Kombi,10 Yaşında, Çatı Katı,"Sarıyer,İstinye Mahallesi",14 Haziran 2020,"19,000 TL"
418,104,1 + 1, 42 maslak b kule'de modern eşyalı kiralık 1+1 daire (230),Kombi,5 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"8,990 TL"
419,75,2 + 1, borsa yakını 2+1 temiz masrafsız daire kat.2,Kombi,25 Yaşında, 2. Kat,"Sarıyer,Reşitpaşa Mahallesi",2 Temmuz 2020,"1,800 TL"
420,330,5 + 1, abn 'den istinye seba royal kiralık güncel 5+1 geniş çatı dublex,Kombi,12 Yaşında, Çatı Katı,"Sarıyer,İstinye Mahallesi",10 Temmuz 2020,"19,500 TL"
421,00,3 + 1, istinyepark evlerinde kiralık temiz daire zorlu savoy list,Kombi,11 Yaşında, 2. Kat,"Sarıyer,Pınar Mahallesi",13 Temmuz 2020,"16,000 TL"
422,165,2 + 1, maslak spine modern eşyalı kiralık 2+1 daire (104),Kombi,6 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"14,990 TL"
423,105,1 + 1, 42 maslak b kule'de eşyalı kiralık 1+1 daire (231),Kombi,5 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"8,390 TL"
424,130,2 + 1, sarıyer emirgan da 2+1 125m2 deniz manzaralı kiralık daire,Kombi,21 Yaşında, 1. Kat,"Sarıyer,Baltalimanı Mahallesi",3 Temmuz 2020,"1,900 TL"
425,110,2 + 1, kireçburnu sahile 1 dk full eşyalı 100m2 2+1 müstakil dublex ,Kombi,20 Yaşında, 1. Kat,"Sarıyer,Kireçburnu Mahallesi",12 Temmuz 2020,"3,000 TL"
426,65,1 + 1, sarıyer zekeriyaköyde koç üniversitesine yakın kiralık 1+1 daire,Kombi,3 Yaşında, 1. Kat,"Sarıyer,Zekeriyaköy Mahallesi",17 Haziran 2020,"2,400 TL"
427,50,4 + 1, rumeli hisarüstü kiralık yeşillikler içersinde 4+1 daire,Kombi,35 Yaşında, 1. Kat,"Sarıyer,Rumeli Hisarı Mahallesi",24 Haziran 2020,"9,600 TL"
